Code,Name,Description
FAMST189FX,Topics in Contemporary Media Theory Special Effects: Spectacular Technologies and the Body,"This course focuses on special effects technologies in film, with an emphasis on their material natures and relationship(s) to the body including the bodies of viewers and of the many bodies involved in the effects production. Students learn theoreti..."
FAMST189GN,Topics in Contemporary Media Theory: Global News Media,"Fake news, the corporate media, alternative facts. This class explores contemporary conversations about crises in news media forms by examining the histories, technologies, industries, policies, and cultural norms that shape global and local news cul..."
FAMST189HK,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189IR,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189JA,Topics in Contemporary Media Theory: Japanese American Internment Media,"Explores the role of visual and print media in the WWII incarceration of Japanese Americans through various historical and theoretical perspectives. Topics include the production and remediation of domestic wartime propaganda, race and representation..."
FAMST189LM,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189LR,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189MD,Topics in Contemporary Media Theory: Media/Empire_Decolonization: From Nanook to #NoDAPL,"Explores the imperial entailments and decolonizing potentials of various media and communication technologies. From the telegraph to the Internet, and from cinema to social media, we will consider how specific histories of colonial domination and dec..."
FAMST189ME,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189MF,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189MG,Topics in Contemporary Media Theory: Media and Globalization,This theory course explores medias constitutive role in our experiences of globalization. Topics include: accumulation of capital and forms of dispossession; borders and migration; flows and frictions; geographies of displacement; global media conglo...
FAMST189MM,Topics in Contemporary Media Theory: Media and Modeling,"Do models shape the world or does the world shape our models? This class considers the creation, application, and ethical implications of models in domains ranging from computer graphics and machine learning to science and the environment, finance, a..."
FAMST189MP,Topics in Contemporary Media Theory – Film & Media and Policing,"This seminar investigates the relationship between police power and film and media from the late nineteenth century to the present. Students will analyze a range of media including, photography, silent cinema, American and international studio and in..."
FAMST189NM,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189OM,Occult Media,"In this seminar, we will contend with definitions of media and how they interface with the occult. Throughout the quarter, students will conduct archival research, learn about media archaeology, and discover occult media in its many forms, including..."
FAMST189PA,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189PN,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189PS,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189QT,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189RM,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189SC,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189SM,"Topics in Contemporary Media Theory: Sound, Media, and Society","Builds conceptual and analytical tools for a critical understanding of sound, media, and auditory cultures. Special attention is paid to how social and historical factors inform sound media and how sound media, in turn, inform cultural perceptions an..."
FAMST189SW,Topics in Contemporary Media Theory: Sounding the World,"Explores theories, technologies, and practices of sound making and reception, particularly as ways of knowing built and natural environments and multispecies relationships. Introduces work in sound studies, science and technology studies, animal stud..."
FAMST189TF,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, and Wollen."
FAMST189TM,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189TT,"Topics in Contemporary Media Theory: Taps & Traps: Surveillance, Observation, Capture","Examines the relationships between media, spectacle, and surveillance, moving from discourses of visual power and control in classic surveillance theory, to contemporary heuristics for understanding the digital era of data collection and tracking tec..."
FAMST189TW,Topics in Contemporary Media Theory: The Wire: TV in Focus,"Examines HBOs crime drama television series, The Wire (2002-2008). Discusses the series through critical, historical, and theoretical approaches from fields like urban studies and television studies. Students work on projects related to city media of..."
FAMST189VT,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST189XX,Topics in Contemporary Media Theory,"Topics vary each year and may include such problems as the relation of film and other media to structuralism, semiotics, metaphor/metonymy, point of view, and the writings of Burch, Barthes, Metz, Heath, Bordwell, Willemen, Wollen."
FAMST190,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190AD,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190AW,"Studies in Film, Media and the Other Arts: Anti-War Media","In this seminar, we focus on global and local oppositional media and crafts practices that seek to prevent, stop, and undermine the death-making of war, offering ways to sustain life for civilians, heal the survivors, and commemorate the dead: From m..."
FAMST190CC,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190DA,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190DT,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190FT,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190IS,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190PC,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190SC,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190SE,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190ST,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190TN,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190TS,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190TV,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190VA,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST190XX,"Studies in Film, Media and the Other Arts","An analysis of film and other media in relation to literary and plastic arts such as photography, architecture, and the novel. Topics vary."
FAMST192,Topics in Film and Media Theory,"Addresses film, television and/or digital media from a variety of theoretical perspectives; topics will vary depending on instructor. Critical analytical papers will be required. Emphases have included classical, contemporary and comparative theories..."
FAMST192CT,Topics in Film and Media Theory: Cultural Thory,"This course introduces students to theoretical approaches and frameworks that are crucial to understanding our social and cultural contemporaneity. Topics include ideology and social determination; knowledge and power; history, memory, and trauma; po..."
FAMST192DT,Topics in Film and Media Theory: Digital Theory,"Histories and theories of digital media and their users, from early computers and networks to video games and selfies. Approaches include comparative media analysis, cultural studies, science and technology studies, software/platform studies, and env..."
FAMST192FC,Theories of Filmgoing and Mass Culture,"In our age of online streaming platforms, diminishing theatrical ticket sales, and individual media devices, one may reasonably ask: what is the value of filmgoing in a space shared with others? This course will help us consider this pressing questio..."
FAMST192FT,Topics in Film and Media Theory,"Addresses film, television and/or digital media from a variety of theoretical perspectives; topics will vary depending on instructor. Critical analytical papers will be required. Emphases have included classical, contemporary and comparative theories..."
FAMST192PM,Topics in Film and Media Theory: Popular Music and Youth Culture,"Explores the social history and cultural politics of popular music and youth culture, with an emphasis on the relations between musical meaning, technological mediation, cultural value, and social power."
FAMST193,"The Carsey-Wolf Center Practicum: Contemporary Programming, Distribution, and Exhibition.","This course will use the Pollock Theater and its programming as a laboratory for studying contemporary programming and exhibition practices. Topics under consideration will include media distribution and exhibition contexts, constructing programming..."
FAMST195I,Internship in Film/Television,"An opportunity for training, career sampling, and contacts in the film or television industry. Required are approximately 100 hours of work a quarter, a final five-page report, and a supervisor's letter of verification."
FAMST195PI,Pollock Theater Event and Production Internship,"Students gain professional skills, including writing event proposals, marketing, and theater operations. Over three quarters, this class emphasizes different aspects of broadcast production, which include Q&As/talk shows, sitcoms, and directing. May..."
FAMST196,Senior Honors Seminar,"A one-quarter directed study, to be conducted as outlined in the description of the Senior Honors Program. Honors candidates will write a senior thesis on a topic approved by film studies faculty."
FAMST199,Independent Studies,Selected research under the direction of a faculty member.
FAMST199RA,Independent Research Assistance in Film Studies,Course work shall consist of faculty supervised research assistance.
FAMST210,Media Production,"Graduate-level instruction in film or video pre-production, production, and post-production."
FAMST213,Autobiographical Screenwriting,Explores the creative process in autobiographical screenplay construction through writing exercises as well as film viewing. Seeks innovative means of character and story development including but not limited to internet personas and autobiographical...
FAMST220,Critical Analysis and Method,"Seminar examining a range of methodologies and critical approaches to the study of film and media, with the specific topics chosen by the instructor."
FAMST222,Special Topics in Film Analysis,"Close examination of an element of film style - such as sound, color, or camera movement - and its impact on interpretation."
FAMST223,Black Film Criticism,"Explores the social, cultural, aesthetic, and economic contexts of black critical writing on film over the past century. Studies the black critique of racial representation in Hollywood and other cinemas, the black independent cinemas, and issues of..."
FAMST224,Genre Analysis,"Genre criticism illuminates the artistic and popular appeal of film and explores the relation of aesthetics to ideology. Course analyzes genre criticism through the lens of genre theory, reexamining conventional approaches to the nature and history o..."
FAMST225,Film and Media Authorship,Examines theories of authorship in film and television and how these ideas are redefined and questioned in a poststructuralist and postmodernist paradigm as well as with the evolution of interactive technologies.
FAMST226,National Cinemas,"Close analysis of theories of nation, nationalism, and national cinema, with a focus on the contentious relations between culture, history, media capital and the state. Topics include evolving genres, styles, movements and institutions; local lifewor..."
FAMST230,Philosophy of Film History,Studies works and concepts in the philosophy of history that have informed the researching and writing of film and media history. Will also consider the ways in which film and media texts have extended debates and concepts of historiographic practice...
FAMST231,Media Historiographies,"Comparative analysis of various historical accounts of cinema, television, and digital media that have shaped the field of film and media studies. Emphasis on issues and debates that have dominated efforts to write rigorous, methodologically explicit..."
FAMST232,Special Topics in Film and Media History,Close examination of a topic in film and/or media history.
FAMST232GE,Special Topics in Film and Media History: Global Film Exhibition,"Examines the industrial, social, cultural, and racial practices employed in theatrical and non-theatrical exhibition venues around the world and the local, national, and transnational film cultures developed around moviegoing and other consumption ac..."
FAMST232GM,Special Topics in Film and Media History,Close examination of a topic in film and/or media history.
FAMST232JC,Special Topics in Film and Media History,Close examination of a topic in film and/or media history.
FAMST232PC,Special Topics in Film and Media History,Close examination of a topic in film and/or media history.
FAMST232PN,Special Topics in Film and Media History,Close examination of a topic in film and/or media history.
FAMST232RW,Special Topics in Film and Media History: Revisiting Weimar Culture,"This course explores the art, politics and culture of the Weimar Republic, the period between the defeat of Germany in World War I and Hitler’s rise to power in 1933. It focuses on film and visual culture, with attention to questions of gender, sexua..."
FAMST233,Histories of Film Style,"Examines different explanatory models for patterns of historical continuity, influence, and change in film style. Also includes comparative study of influential models for the history of style in other art forms, such as painting, photography, archit..."
FAMST234,"History, Memory, and Media","Explores how visual and acoustic media have influenced the writing of public histories and the formation of collective memories, and the possibilities and limitations of representing historical events in both fiction and non-fiction audio-visual form..."
FAMST235,(Auto)biographical Documentary,Studies modes of documentary filmmaking in the context of literary and cinematic self-representation including the relationships among personal and collective history and identity construction.
FAMST236,Historicizing New Media,"Looks at issues of media production and consumption along an historical continuum including changing patterns of media literacy, types of apparatuses, ideologies, ethics, and aesthetics."
FAMST240,Film Theory,"Examines the history and rhetoric of thinking about the ontology, epistemology, ideology, and aesthetics of film."
FAMST241,Television and Digital Media Theory,"Explores important theoretical writings concerning electronic and digital media. Course readings define the unique properties of these mediums, consider their ontological status, and discuss how they differ from one another and other cultural forms."
FAMST242,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242AR,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242CI,"Cloud Infrastructure: Pipelines, Platforms, and Data","This course examines cloud infrastructure in the form of Internet pipelines, digital platforms, and data. We look at the various histories, forms of governance, and impact of these sociotechnical systems on digital civil liberties and cultural format..."
FAMST242DP,Special Topics in Film and Media Theory: Distance and Proximity: within and beyond pandemic culture,Distance and proximity serve as a context for a critical examination of pandemic culture. We will examine how our adaptations to and experience of the pandemic allows us to reconsider current international media histories and theories with an active...
FAMST242EM,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242ES,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242FF,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242FS,Special Topics in Film and Media Theory: The Frankfurt School on Film,"This course explores the critical theory of the Frankfurt School, an interdisciplinary group of German philosophers and theorists. It focuses on those who wrote about the media in an effort to probe new approaches to historiography, technology, and p..."
FAMST242LA,Special Topics in Film and Media Theory: Latin America,"Studies the history, works, ideologies and concepts in film theory produced in Latin America with emphasis on the global and regional flow of ideas. Course readings include foundational texts, key sources of influence, as well as the screening of sig..."
FAMST242MF,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242MG,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242MM,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242MP,Media and Policing,An examination of the relationship between police power and modern image-making technologies from a variety of critical historiographical and theoretical perspectives. We will trace a genealogy of the present by putting eighteenth- and nineteenth-cen...
FAMST242PG,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242S,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242SM,Special Topics in Film and Media Theory,Close examination of a topic in film and/or media theory.
FAMST242ST,Special Topics in Film and Media Theory: Science and Technology Studies,"Introduces theories and methods in science and technology studies. Students learn about scholars, texts, and schools of thought that have shaped this interdisciplinary field, as well as more recent intersections with gender/sexuality, race, indigenei..."
FAMST243,Special Topics in Critical Thinkers,"Explores in depth the work of one particular thinker relevant to the field of media and cultural studies, for example, Freud, Barthes, Benjamin, and others."
FAMST244,Rhetoric of Film Theories,Examines the forms of language and conventions of reasoning that sustain major film theories.
FAMST245,Narrative Theory and Memory,"Theories of narrative and their relationship to the human mind, traumatic experience, and the evocation of emotion."
FAMST247,Feminism and Media Theory,"An intellectual history of feminist film and television theory from the 1970s to the present. Course readings are discussed in relation to gender representations in various screenings. Areas covered include psychoanalysis, structuralism, poststructur..."
FAMST248,Digital Media Theory and Practices,"Studies the emerging theoretical paradigms and creative practices of new media technologies including the Internet, computer games, CD-ROM, DVD, and wireless communication devices. Also examines how technologies mediate, perpetuate, and challenge soc..."
FAMST249,Postcolonial Media Theory,"Studies colonial ideologies and representations, and postcolonial challenges and negotiations, with an emphasis on concepts such as imperialism, Eurocentricism, Orientalism, Third Cinema, hybridity, voice, and identity. Interrogates the institutions,..."
FAMST250,Cultural Theory,"Explores key ideas, issues, and developments in cultural studies and critical theory through close readings of primary texts. Possible approaches include the Frankfurt School, the Birmingham School, Freudianism/Lacanianism, semiotics/structuralism, a..."
FAMST251,Popular Culture,"Surveys contemporary approaches to the study of popular culture. Readings include theorists who have critically engaged the Frankfurt School, who have written before and beyond the Birmingham School, or who have taken a comparative international pers..."
FAMST252,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252AR,Special Topics in Cultural Studies: Alchemy and Reverie,"Explores media and the idea of mediation in relation to mystical, esoteric, and occult symbols and traditions. How can alchemy (the ancient art of transmutation) and reverie (the psychology of daydreaming) inspire us to reimagine present-day technolo..."
FAMST252AV,"Special Topics in Cultural Studies: Animal, Vegetable, Mineral","Explores nascent trends in environmental media studiese.g. elemental media, blue humanities, cold humanities, thermocultures, geology of mediaand their intersections with ongoing debates in animal studies, plant philosophy, game studies, critical inf..."
FAMST252CJ,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252EJ,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252EN,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252FT,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252GP,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252JC,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252MD,Special Topics in Cultural Studies: Media and Datification,"In this seminar, we explore how processes of datification and machine learning and AI tools are being used to reconfigure media technologies, industries, content, and audiences. Topics to be discussed include: recommendation systems and taste, ""black..."
FAMST252MR,Special Topics in Cultural Studies: Media Risk,"This seminar interrogates mediations of risk, uncertainty, and speculation, to theorize the concept of ""risk media."" Among its primary concerns are 1) risk as the taming of uncertainty, 2) risk, as coming harm, requiring mediation to become legible,..."
FAMST252OC,Special Topics in Cultural Studies: Occult Correspondences,"This course puts media, cultural, and literary theory into correspondence with esoteric, occult, and alchemical symbols and traditions. Topics include: magic and mimesis, crystal poetics, anomalous phenomena, reverie and imagination, hermeneutics of..."
FAMST252OM,Special Topics in Cultural Studies: Oil Modernity,This seminar examines how our dependency on oil shapes modern ways of seeing and being. It draws together current literature and debates in humanistic scholarship on energy justice with an emphasis on perspectives from the Global South and Indigenous...
FAMST252PG,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252PH,Special Topics in Cultural Studies,Close examination of a topic in cultural studies.
FAMST252PM,Special Topics in Cultural Studies: Political Media,"Explores the changing nature of film, TV, radio, the internet, blogs, and social/interactive media in the political firmament of U.S. Taking into account powerful influences from YouTube, Facebook, Twitter, Instagram and other social media outlets, t..."
FAMST252RI,"Race, Immigration, and White Supremacy in California",California was part of the Spanish empire before it was incorporated into the United States under the Treaty of Guadalupe with Mexico. This interdisciplinary course explores the legacies of colonialism and the logics of white supremacy as they contin...
FAMST252SM,Sound and Aurality,"Explores the interdisciplinary field of sound studies from a variety of critical historiographical and theoretical perspectives. Topics include architectural acoustics, eco-sonic media, vibrational ontologies, sound-reproduction technologies, noise a..."
FAMST253,Psychoanalysis and Cultural Studies,"Even though Freud was an early modern theorist of popular culture and everyday life, the emergent field of cultural studies has paid little attention to the insights of psychoanalysis. What could cultural studies learn from psychoanalysis and vice ve..."
FAMST254,The Inhuman and Posthuman in Digital Culture,"Examines the rhetorics and aesthetics of digital media technologies, especially as they construct new epistemologies and ontologies of representing/mediating the human condition, paying particular attention to claims that new digital technologies hav..."
FAMST255,Gaming Culture,"The computer games industry rivals film and television for audience discretionary income. This course focuses on computer game theories, genres, aesthetics, industrial histories and practices, and representational discourses."
FAMST260,Film and Ethnography,"Brings the techniques of film analysis to bear on the films, videos, and writings of leading visual anthropologists, such as Tim Asch, Jorge Preloran, and Dennis O'Rourke."
FAMST262,Special Topics in Film and/or Media Globalization,Close examination of a topic in globalization of film and/or media.
FAMST262AF,Special Topics in Film and/or Media Globalization,Close examination of a topic in globalization of film and/or media.
FAMST262CV,Special Topics in Film and/or Media Globalization,Close examination of a topic in globalization of film and/or media.
FAMST262EI,Special Topics in Film and/or Media Globalization: Energy Justice: Infrastructures,"This seminar, part of the year-long Mellon Sawyer Seminar on Energy Justice in Global Perspective, explores the social and environmental costs of energy infrastructures. We study oil, hydro, and solar projects, and how they are mediated, resisted, an..."
FAMST262GH,Global Hollywood,Close examination of a topic in globalization of film and/or media.
FAMST262GM,Special Topics in Film and/or Media Globalization,Close examination of a topic in globalization of film and/or media.
FAMST262MC,Special Topics in Film and/or Media Globalization,Close examination of a topic in globalization of film and/or media.
FAMST262PL,Special Topics in Film and/or Media Globalization,Close examination of a topic in globalization of film and/or media.
FAMST262PN,Special Topics in Film and/or Media Globalization,Close examination of a topic in globalization of film and/or media.
FAMST262TH,Special Topics in Film and/or Media Globalization: Transnational Hollywood,"Examines the role of film exhibitors,distributors, and makers on national cinema and national cinemas around the world. Runaway global production, local film distribution and censorship, and Hollywood-owned cinemas abroad are all examined."
FAMST263,Cultural Translation,"Defines and examines the problematic of ""transition"" as the circulation of cultural texts beyond borders and boundaries (temporal, linguistic, institutional, communal, national, regional, and disciplinary)."
FAMST265,Race and Gender in Cyberculture,Interrogates theories and representations of disembodiment in cyberculture. Especially interested in utopic and dystopic visions of gender-bending and colorblindness via the consensual hallucination of cyberspace. Does becoming posthuman mean that we...
FAMST266,Political Economy of Global Media,"Examines media institutions and networks of exchange, focusing on their transformation, shifting power relations, and emerging geopolitical imaginations."
FAMST267,Media Industries,"The business strategies, political economy, regulatory dimensions and cultural products of contemporary media industries. A focus on the dynamics of globalization, convergence and new technologies grounds our exploration of the interconnected industr..."
FAMST268,Paradigms of Globalization,"Analysis of various theories of globalization, with specific focus on 'global media.' Interrogates the ways in which transnational networks and flows of capital, information, technology, people, representations, aspirations and actions are constituti..."
FAMST295DD,Dissertation Development,"Provides guidance, training, a forum, and a common center for various research endeavors."
FAMST295I,Professional Internship,"An opportunity for training, career sampling, and contacts in the media industry."
FAMST298,Preparation for Dissertation Prospectus,Preparation for the Ph.D. qualifying exam and writing of the dissertation prospectus.
FAMST46,Introduction to Cinema,"An introduction to the study of film as an aesthetic and social phenomenon, and to various methods of critical analysis."
FAMST46H,Introduction to Cinema - Honors,Students receive one unit credit for the honors seminar. Intended for highly motivated Letters and Science Honors students.
FAMST46MS,Major Seminar,Designed for Film and Media Studies majors and students contemplating a major or concentration in film. An intensive introduction to the study of film and to various methods of critical analysis.
FAMST501,Teaching Assistant Practicum,"Designed to accommodate graduate students who serve as teaching assistants. Includes analyses of texts and materials, discussion section teaching techniques, formulation of topics and questions for papers and examinations, and grading papers and exam..."
FAMST54,Hollywood: Anatomy of an Industry,"In-depth analysis of the changing world of the motion picture and television industries through dialogues with distinguished Hollywood guests. A range of areas such as directing, producing, screenwriting, acting, etc. are covered."
FAMST55,Media Arts: The High and the Low,"Expands the study of the arts beyond classical paradigms and canons, to include media and communication technologies, industries, and aesthetics in the domains of radio, film, television, music, and digital media. Versions of the course will explore..."
FAMST55BE,Media Arts: The High and the Low: The Beatles,"Course explores the music and lives of The Fab Four from their early days as The Quarrymen to The Beatles and post-Beatles bands and solo careers through narrative movies, documentaries, videos, short films and special guests."
FAMST55CY,Media Arts: The High and the Low: From Robots to Cyborgs,"Born as industrial artifacts, robots, androids, and cyborgs have become representations of our fears, our hopes, and our expectations of the future. This course looks at the historical representation of human-like creations, from robots to cyborgs, a..."
FAMST55DD,Directors on Directing,"Expands the study of the arts beyond classical paradigms and canons, to include media and communication technologies, industries, and aesthetics in the domains of radio, film, television, music, and digital media. Versions of the course will explore..."
FAMST55QM,Media Arts: The High and the Low: Queen,"This course uses the British progressive rock band Queen to examine a wide range of music, media, and cultural forms as well as global and LGBTQIA+ history from the 1940s to the contemporary moment."
FAMST56,Media Cultures and Thought,"Versions of this course will explore social concerns that emerge, or take on a new urgency, within media cultures. Topics may include: audiences and media publics; documentary evidence; risk cultures; pandemic media; cinema and the apocalyptic imagin..."
FAMST56AI,Media Culture and Thought: Critical AI,"This course delves into the intersection of Artificial Intelligence (AI) and Machine Learning (ML) from a humanities perspective. The course aims to foster a nuanced understanding of AI's entanglement with media, encouraging students to think critica..."
FAMST56FR,Film and Revolution,"An international exploration of cinema's role in revolutionary movements from the 20th to the early 21st century. This course delves into film as a tool for social and political change, considering its influence and interaction with worldwide revolut..."
FAMST56MR,Media Cultures and Thought: Media Risk,"This course interrogates mediations of risk, uncertainty, and speculation, to theorize the concept of ""risk media."" Among its primary concerns are 1) risk as the taming of uncertainty, 2) risk, as coming harm, requiring mediation to become legible, a..."
FAMST56ZM,Media Cultures and Thought: GenZ Media,"GenZ is the first generation to grow up with and to be active users and producers of social media. GenZ Media explores representations of and commentary about social media. In keeping with a distinguishing characteristic of social media, the class in..."
FAMST593,Programming and Curation Practicum,"Examines issues related to curation, including the construction of canons, cultural value, and economies of prestige. Students work with the CWC director in curating programs for the Pollock Theater and related research events. Class discusses readin..."
FAMST594,Special Topics in Film and Media,A seminar on research subjects of current interest.
FAMST594DV,Special Topics in Film and Media,A seminar on research subjects of current interest.
FAMST594FF,Special Topics in Film and Media,A seminar on research subjects of current interest.
FAMST595,Group Studies,"Provides guidance, training, a forum, and a common center for various research endeavors."
FAMST595DD,Group Studies,"Provides guidance, training, a forum, and a common center for various research endeavors."
FAMST595TS,Group Studies,"Provides guidance, training, a forum, and a common center for various research endeavors."
FAMST596,Directed Reading and Research,Individual tutorial.
FAMST597,MA Orals and PhD Exam Preparation,Master's Oral Exam and PhD Qualifying Exam preparation.
FAMST598,Preparation for Dissertation Prospectus,Preparation for the Ph.D. qualifying exam and writing of the dissertation prospectus.
FAMST599,Dissertation Research and Writing,Only for the research and writing of dissertation. Instructor should be chair of the student's doctoral committee.
FAMST70,Media Criticism,"Develop the analytical tools required for a critical understanding of the interrelationship between media, culture, and society in America. Special attention given to how social structures shape media and how media products in return affect our cultu..."
FAMST70H,Media Criticism - Honors,Students receive one unit for the honors seminar. Intended for highly motivated Letters and Science honors students.
FAMST75,Introduction to Environmental Media,"Explores the ways media and the environment influence, structure and inhabit one another. How do environmental issues figure in documentary and feature films, advertising, and the internet, among other media forms? How does media affect the environme..."
FAMST95,Internship in Film/Television,"An opportunity for training, career sampling, and contacts in the film or television industry. Required are approximately 100 hours of work per quarter, a final five-page report, and a supervisor's letter of verification."
FAMST96,Advanced Film Analysis,"A study of the basic formal dimensions of cinema: narration, space, time, and sound."
FAMST99,Independent Studies.,Selected research under the direction of a faculty member.
FAMSTW151FA,American Film History: The Silent Film West of Hollywood,Santa Barbaras first high-tech industry began in 1912 and went global immediately. This course follows the rise and fall of the American Film Manufacturing Company and provides a fresh perspective on the silent film era.
